country,country_code,year,parameter,value,unit,source
Brunei Darussalam,96,2000,"Drinking water, At least basic service",99.900016208937,,"WHO, UNICEF"
Brunei Darussalam,96,2000,"Drinking water, Basic service",100.0,,"WHO, UNICEF"
Brunei Darussalam,96,2000,"Drinking water, Limited",0.0,,"WHO, UNICEF"
Brunei Darussalam,96,2000,"Drinking water, On premises",99.781114234493,,"WHO, UNICEF"
Brunei Darussalam,96,2000,"Drinking water, Unimproved",0.0,,"WHO, UNICEF"
Brunei Darussalam,96,2000,"Drinking water, Surface water",0.099983791062905,,"WHO, UNICEF"
Cambodia,116,2000,"Drinking water, Available",45.672966345248,,"WHO, UNICEF"
Cambodia,116,2000,"Drinking water, Surface water",24.93950276081,,"WHO, UNICEF"
Cambodia,116,2000,"Drinking water, Unimproved",23.160616647941,,"WHO, UNICEF"
Cambodia,116,2000,"Drinking water, On premises",41.041233579205,,"WHO, UNICEF"
Cambodia,116,2000,"Drinking water, Safely managed service",17.0,,"WHO, UNICEF"
Cambodia,116,2000,"Drinking water, Free of contamination",16.963134394407,,"WHO, UNICEF"
Cambodia,116,2000,"Drinking water, Limited",0.0,,"WHO, UNICEF"
Cambodia,116,2000,"Drinking water, Basic service",52.0,,"WHO, UNICEF"
Cambodia,116,2000,"Drinking water, Available",69.297773485478,,"WHO, UNICEF"
Cambodia,116,2000,"Drinking water, Surface water",11.08178981634,,"WHO, UNICEF"
Cambodia,116,2000,"Drinking water, Unimproved",9.3758043566557,,"WHO, UNICEF"
Cambodia,116,2000,"Drinking water, On premises",74.161208979581,,"WHO, UNICEF"
Cambodia,116,2000,"Drinking water, Safely managed service",47.0,,"WHO, UNICEF"
Cambodia,116,2000,"Drinking water, Free of contamination",45.736883350528,,"WHO, UNICEF"
Cambodia,116,2000,"Drinking water, Limited",0.0,,"WHO, UNICEF"
Cambodia,116,2000,"Drinking water, Basic service",81.0,,"WHO, UNICEF"
Cambodia,116,2000,"Drinking water, Surface water",28.103078692625,,"WHO, UNICEF"
Cambodia,116,2000,"Drinking water, Unimproved",26.307553276024,,"WHO, UNICEF"
Cambodia,116,2000,"Drinking water, On premises",33.48027448862,,"WHO, UNICEF"
Cambodia,116,2000,"Drinking water, Safely managed service",10.0,,"WHO, UNICEF"
Cambodia,116,2000,"Drinking water, Free of contamination",10.394375911148,,"WHO, UNICEF"
Cambodia,116,2000,"Drinking water, Available",40.279658677071,,"WHO, UNICEF"
Cambodia,116,2000,"Drinking water, Limited",0.0,,"WHO, UNICEF"
Cambodia,116,2000,"Drinking water, Basic service",46.0,,"WHO, UNICEF"
Indonesia,360,2000,"Drinking water, Safely managed service",18.0,,"WHO, UNICEF"
Indonesia,360,2000,"Drinking water, Free of contamination",17.829446752315,,"WHO, UNICEF"
Indonesia,360,2000,"Drinking water, Surface water",6.1250849877368,,"WHO, UNICEF"
Indonesia,360,2000,"Drinking water, Unimproved",28.083598583056,,"WHO, UNICEF"
Indonesia,360,2000,"Drinking water, On premises",45.691187868219,,"WHO, UNICEF"
Indonesia,360,2000,"Drinking water, Available",59.201654886092,,"WHO, UNICEF"
Indonesia,360,2000,"Drinking water, Limited",0.51733293222179,,"WHO, UNICEF"
Indonesia,360,2000,"Drinking water, Basic service",66.0,,"WHO, UNICEF"
Indonesia,360,2000,"Drinking water, Basic service",90.0,,"WHO, UNICEF"
Indonesia,360,2000,"Drinking water, Limited",0.69110200173715,,"WHO, UNICEF"
Indonesia,360,2000,"Drinking water, Available",82.37461845113,,"WHO, UNICEF"
Indonesia,360,2000,"Drinking water, Free of contamination",31.42974506634,,"WHO, UNICEF"
Indonesia,360,2000,"Drinking water, Safely managed service",31.0,,"WHO, UNICEF"
Indonesia,360,2000,"Drinking water, On premises",74.170326543418,,"WHO, UNICEF"
Indonesia,360,2000,"Drinking water, Unimproved",9.5190848698128,,"WHO, UNICEF"
Indonesia,360,2000,"Drinking water, Surface water",0.6816435120726,,"WHO, UNICEF"
Indonesia,360,2000,"Drinking water, Surface water",3.8387306006707,,"WHO, UNICEF"
Indonesia,360,2000,"Drinking water, Basic service",76.0,,"WHO, UNICEF"
Indonesia,360,2000,"Drinking water, Limited",0.59031942285641,,"WHO, UNICEF"
Indonesia,360,2000,"Drinking water, Available",68.934763810376,,"WHO, UNICEF"
Indonesia,360,2000,"Drinking water, Free of contamination",23.541844431593,,"WHO, UNICEF"
Indonesia,360,2000,"Drinking water, Safely managed service",24.0,,"WHO, UNICEF"
Indonesia,360,2000,"Drinking water, On premises",57.65299652743,,"WHO, UNICEF"
Indonesia,360,2000,"Drinking water, Unimproved",20.286130818102,,"WHO, UNICEF"
Lao People's Democratic Republic,418,2000,"Drinking water, Basic service",48.0,,"WHO, UNICEF"
Lao People's Democratic Republic,418,2000,"Drinking water, Limited",0.57025543905824,,"WHO, UNICEF"
Lao People's Democratic Republic,418,2000,"Drinking water, Available",45.037261950707,,"WHO, UNICEF"
Lao People's Democratic Republic,418,2000,"Drinking water, Free of contamination",9.0929446237345,,"WHO, UNICEF"
Lao People's Democratic Republic,418,2000,"Drinking water, Safely managed service",5.0,,"WHO, UNICEF"
Lao People's Democratic Republic,418,2000,"Drinking water, On premises",7.444936427531,,"WHO, UNICEF"
Lao People's Democratic Republic,418,2000,"Drinking water, Unimproved",27.552404525886,,"WHO, UNICEF"
Lao People's Democratic Republic,418,2000,"Drinking water, Surface water",25.733491829842,,"WHO, UNICEF"
Lao People's Democratic Republic,418,2000,"Drinking water, Surface water",31.651466814562,,"WHO, UNICEF"
Lao People's Democratic Republic,418,2000,"Drinking water, Unimproved",30.16941561851,,"WHO, UNICEF"
Lao People's Democratic Republic,418,2000,"Drinking water, On premises",0.21993570626312,,"WHO, UNICEF"
Lao People's Democratic Republic,418,2000,"Drinking water, Safely managed service",2.0,,"WHO, UNICEF"
Lao People's Democratic Republic,418,2000,"Drinking water, Free of contamination",5.6227035485813,,"WHO, UNICEF"
Lao People's Democratic Republic,418,2000,"Drinking water, Available",36.418575372299,,"WHO, UNICEF"
Lao People's Democratic Republic,418,2000,"Drinking water, Limited",0.6295268328474,,"WHO, UNICEF"
Lao People's Democratic Republic,418,2000,"Drinking water, Basic service",40.0,,"WHO, UNICEF"
Lao People's Democratic Republic,418,2000,"Drinking water, Basic service",79.0,,"WHO, UNICEF"
Lao People's Democratic Republic,418,2000,"Drinking water, Limited",0.35982943810809,,"WHO, UNICEF"
Lao People's Democratic Republic,418,2000,"Drinking water, Available",75.635421711116,,"WHO, UNICEF"
Lao People's Democratic Republic,418,2000,"Drinking water, Free of contamination",21.413034424405,,"WHO, UNICEF"
Lao People's Democratic Republic,418,2000,"Drinking water, Safely managed service",17.0,,"WHO, UNICEF"
Lao People's Democratic Republic,418,2000,"Drinking water, On premises",33.095217396903,,"WHO, UNICEF"
Lao People's Democratic Republic,418,2000,"Drinking water, Unimproved",18.261463130857,,"WHO, UNICEF"
Lao People's Democratic Republic,418,2000,"Drinking water, Surface water",4.7234279900113,,"WHO, UNICEF"
Malaysia,458,2000,"Drinking water, Surface water",0.09,,"WHO, UNICEF"
Malaysia,458,2000,"Drinking water, At least basic service",99.296882459384,,"WHO, UNICEF"
Malaysia,458,2000,"Drinking water, Basic service",98.0,,"WHO, UNICEF"
