source,location_id,country,latitude,longitude,sample_date,parameter,value,unit,quality
"WHO, UNICEF",4,Afghanistan,,,2000,"Drinking water, Non-piped improved",39.424215269229,,
"WHO, UNICEF",4,Afghanistan,,,2000,"Drinking water, Piped improved",19.063288753486,,
"WHO, UNICEF",4,Afghanistan,,,2000,"Drinking water, Total",58.487504022714,,
"WHO, UNICEF",4,Afghanistan,,,2000,"Drinking water, Surface water",9.0715785660118,,
"WHO, UNICEF",4,Afghanistan,,,2000,"Drinking water, Unimproved",32.440917411274,,
"WHO, UNICEF",4,Afghanistan,,,2000,"Drinking water, On premises",46.363522956731,,
"WHO, UNICEF",4,Afghanistan,,,2000,"Drinking water, Safely managed service",22.0,,
"WHO, UNICEF",4,Afghanistan,,,2000,"Drinking water, Free of contamination",21.27857863727,,
"WHO, UNICEF",4,Afghanistan,,,2000,"Drinking water, Available",51.78220412403,,
"WHO, UNICEF",4,Afghanistan,,,2000,"Drinking water, Limited",3.8810262532347,,
"WHO, UNICEF",4,Afghanistan,,,2000,"Drinking water, Basic service",57.0,,
"WHO, UNICEF",4,Afghanistan,,,2000,"Drinking water, Non-piped improved",26.532266153286,,
"WHO, UNICEF",4,Afghanistan,,,2000,"Drinking water, Piped improved",4.2087930286032,,
"WHO, UNICEF",4,Afghanistan,,,2000,"Drinking water, Total",30.741059181889,,
"WHO, UNICEF",4,Afghanistan,,,2000,"Drinking water, Surface water",25.402163820784,,
"WHO, UNICEF",4,Afghanistan,,,2000,"Drinking water, Unimproved",43.856776997327,,
"WHO, UNICEF",4,Afghanistan,,,2000,"Drinking water, On premises",16.753696473368,,
"WHO, UNICEF",4,Afghanistan,,,2000,"Drinking water, Safely managed service",11.0,,
"WHO, UNICEF",4,Afghanistan,,,2000,"Drinking water, Available",27.598418075403,,
"WHO, UNICEF",4,Afghanistan,,,2000,"Drinking water, Limited",3.2992030877631,,
"WHO, UNICEF",4,Afghanistan,,,2000,"Drinking water, Basic service",30.0,,
"WHO, UNICEF",4,Afghanistan,,,2000,"Drinking water, Free of contamination",11.093326309144,,
"WHO, UNICEF",4,Afghanistan,,,2000,"Drinking water, Non-piped improved",22.879530638923,,
"WHO, UNICEF",4,Afghanistan,,,2000,"Drinking water, Piped improved",0.0,,
"WHO, UNICEF",4,Afghanistan,,,2000,"Drinking water, Total",22.879530638923,,
"WHO, UNICEF",4,Afghanistan,,,2000,"Drinking water, Surface water",30.029184259003,,
"WHO, UNICEF",4,Afghanistan,,,2000,"Drinking water, Unimproved",47.091285102074,,
"WHO, UNICEF",4,Afghanistan,,,2000,"Drinking water, On premises",8.3642073215568,,
"WHO, UNICEF",4,Afghanistan,,,2000,"Drinking water, Free of contamination",8.2074916597905,,
"WHO, UNICEF",4,Afghanistan,,,2000,"Drinking water, Available",20.746314128695,,
"WHO, UNICEF",4,Afghanistan,,,2000,"Drinking water, Limited",3.1343524509567,,
"WHO, UNICEF",4,Afghanistan,,,2000,"Drinking water, Basic service",22.0,,
"WHO, UNICEF",4,Afghanistan,,,2000,"Drinking water, Safely managed service",9.0,,
"WHO, UNICEF",8,Albania,,,2000,"Drinking water, Non-piped improved",18.141688317035,,
"WHO, UNICEF",8,Albania,,,2000,"Drinking water, Piped improved",78.394881138912,,
"WHO, UNICEF",8,Albania,,,2000,"Drinking water, Total",96.536569455947,,
"WHO, UNICEF",8,Albania,,,2000,"Drinking water, Surface water",0.92370579065777,,
"WHO, UNICEF",8,Albania,,,2000,"Drinking water, Unimproved",2.5397247533957,,
"WHO, UNICEF",8,Albania,,,2000,"Drinking water, On premises",72.15831317469,,
"WHO, UNICEF",8,Albania,,,2000,"Drinking water, Safely managed service",49.0,,
"WHO, UNICEF",8,Albania,,,2000,"Drinking water, Free of contamination",93.903843124545,,
"WHO, UNICEF",8,Albania,,,2000,"Drinking water, Available",49.138320563421,,
"WHO, UNICEF",8,Albania,,,2000,"Drinking water, Limited",10.139525506539,,
"WHO, UNICEF",8,Albania,,,2000,"Drinking water, Basic service",86.0,,
"WHO, UNICEF",8,Albania,,,2000,"Drinking water, Non-piped improved",1.4465856182509,,
"WHO, UNICEF",8,Albania,,,2000,"Drinking water, At least basic service",94.734952857687,,
"WHO, UNICEF",8,Albania,,,2000,"Drinking water, Basic service",95.0,,
"WHO, UNICEF",8,Albania,,,2000,"Drinking water, Limited",4.8228744380928,,
"WHO, UNICEF",8,Albania,,,2000,"Drinking water, Available",43.337253146645,,
"WHO, UNICEF",8,Albania,,,2000,"Drinking water, Unimproved",0.44217270421984,,
"WHO, UNICEF",8,Albania,,,2000,"Drinking water, Surface water",0.0,,
"WHO, UNICEF",8,Albania,,,2000,"Drinking water, Total",99.55782729578,,
"WHO, UNICEF",8,Albania,,,2000,"Drinking water, Piped improved",98.111241677529,,
"WHO, UNICEF",8,Albania,,,2000,"Drinking water, On premises",92.234876332207,,
"WHO, UNICEF",8,Albania,,,2000,"Drinking water, Basic service",80.0,,
"WHO, UNICEF",8,Albania,,,2000,"Drinking water, Limited",13.948762488965,,
"WHO, UNICEF",8,Albania,,,2000,"Drinking water, Available",53.294628864191,,
"WHO, UNICEF",8,Albania,,,2000,"Drinking water, On premises",57.773997815689,,
"WHO, UNICEF",8,Albania,,,2000,"Drinking water, Unimproved",4.0425639652912,,
"WHO, UNICEF",8,Albania,,,2000,"Drinking water, Surface water",1.5855160550458,,
"WHO, UNICEF",8,Albania,,,2000,"Drinking water, Total",94.371919979663,,
"WHO, UNICEF",8,Albania,,,2000,"Drinking water, Piped improved",64.268641245385,,
"WHO, UNICEF",8,Albania,,,2000,"Drinking water, Non-piped improved",30.103278734278,,
"WHO, UNICEF",8,Albania,,,2000,"Drinking water, At least basic service",80.423157490698,,
"WHO, UNICEF",12,Algeria,,,2000,"Drinking water, Non-piped improved",24.002572791431,,
"WHO, UNICEF",12,Algeria,,,2000,"Drinking water, Piped improved",67.648487003333,,
"WHO, UNICEF",12,Algeria,,,2000,"Drinking water, Total",91.651059794764,,
"WHO, UNICEF",12,Algeria,,,2000,"Drinking water, Surface water",1.0110220848057,,
"WHO, UNICEF",12,Algeria,,,2000,"Drinking water, Unimproved",7.3379181204299,,
"WHO, UNICEF",12,Algeria,,,2000,"Drinking water, On premises",51.997150765345,,
"WHO, UNICEF",12,Algeria,,,2000,"Drinking water, Safely managed service",51.0,,
"WHO, UNICEF",12,Algeria,,,2000,"Drinking water, Free of contamination",69.108922566777,,
"WHO, UNICEF",12,Algeria,,,2000,"Drinking water, Available",85.399325626174,,
"WHO, UNICEF",12,Algeria,,,2000,"Drinking water, Limited",8.2404580544136,,
"WHO, UNICEF",12,Algeria,,,2000,"Drinking water, Basic service",82.0,,
"WHO, UNICEF",12,Algeria,,,2000,"Drinking water, Piped improved",81.340111197045,,
"WHO, UNICEF",12,Algeria,,,2000,"Drinking water, Free of contamination",79.830631057591,,
"WHO, UNICEF",12,Algeria,,,2000,"Drinking water, Available",86.845114642348,,
"WHO, UNICEF",12,Algeria,,,2000,"Drinking water, Limited",5.5385406322022,,
"WHO, UNICEF",12,Algeria,,,2000,"Drinking water, Basic service",89.0,,
"WHO, UNICEF",12,Algeria,,,2000,"Drinking water, Safely managed service",69.0,,
"WHO, UNICEF",12,Algeria,,,2000,"Drinking water, On premises",70.078517334717,,
"WHO, UNICEF",12,Algeria,,,2000,"Drinking water, Unimproved",4.1419854118559,,
"WHO, UNICEF",12,Algeria,,,2000,"Drinking water, Surface water",0.47064537609935,,
"WHO, UNICEF",12,Algeria,,,2000,"Drinking water, Total",95.387369212045,,
"WHO, UNICEF",12,Algeria,,,2000,"Drinking water, Non-piped improved",14.047258015,,
"WHO, UNICEF",12,Algeria,,,2000,"Drinking water, Non-piped improved",7.3879508578702,,
"WHO, UNICEF",12,Algeria,,,2000,"Drinking water, Piped improved",90.498703855173,,
"WHO, UNICEF",12,Algeria,,,2000,"Drinking water, Total",97.886654713043,,
"WHO, UNICEF",12,Algeria,,,2000,"Drinking water, Surface water",0.10917671378092,,
"WHO, UNICEF",12,Algeria,,,2000,"Drinking water, Unimproved",2.0041685731756,,
"WHO, UNICEF",12,Algeria,,,2000,"Drinking water, On premises",82.173495873645,,
"WHO, UNICEF",12,Algeria,,,2000,"Drinking water, Safely managed service",82.0,,
"WHO, UNICEF",12,Algeria,,,2000,"Drinking water, Free of contamination",87.002588632173,,
"WHO, UNICEF",12,Algeria,,,2000,"Drinking water, Available",87.812226380935,,
"WHO, UNICEF",12,Algeria,,,2000,"Drinking water, Limited",3.7311744736065,,
"WHO, UNICEF",12,Algeria,,,2000,"Drinking water, Basic service",94.0,,
"WHO, UNICEF",16,American Samoa,,,2000,"Drinking water, Piped improved",93.671479131234,,
"WHO, UNICEF",16,American Samoa,,,2000,"Drinking water, Basic service",95.0,,
"WHO, UNICEF",16,American Samoa,,,2000,"Drinking water, Limited",0.0,,
"WHO, UNICEF",16,American Samoa,,,2000,"Drinking water, Available",85.950116095497,,
"WHO, UNICEF",16,American Samoa,,,2000,"Drinking water, Free of contamination",93.789675765801,,
"WHO, UNICEF",16,American Samoa,,,2000,"Drinking water, Safely managed service",82.0,,
"WHO, UNICEF",16,American Samoa,,,2000,"Drinking water, On premises",80.575192305181,,
"WHO, UNICEF",16,American Samoa,,,2000,"Drinking water, Non-piped improved",1.2608112589275,,
"WHO, UNICEF",16,American Samoa,,,2000,"Drinking water, Total",94.932290390162,,
"WHO, UNICEF",16,American Samoa,,,2000,"Drinking water, Surface water",0.0,,
"WHO, UNICEF",16,American Samoa,,,2000,"Drinking water, Unimproved",5.0677096098385,,
