source,location_id,country,latitude,longitude,sample_date,parameter,value,unit,quality
STEWARDS,ARS-MSGC-MSGC_WQ_2-5,,34.2366284,-89.9093076,1987-06-22,Dissolved oxygen,6.86,mg/L,
STEWARDS,ARS-MSGC-MSGC_WQ_2-5,,34.2366284,-89.9093076,1987-08-10,Dissolved oxygen,10.46,mg/L,
STEWARDS,ARS-MSGC-MSGC_WQ_2-5,,34.2366284,-89.9093076,1985-07-02,Dissolved oxygen,9.59,mg/L,
STEWARDS,ARS-MSGC-MSGC_WQ_2-5,,34.2366284,-89.9093076,1989-10-30,Dissolved oxygen,8.67,mg/L,
STEWARDS,ARS-MSGC-MSGC_WQ_2-5,,34.2366284,-89.9093076,1990-08-19,Dissolved oxygen,7.22,mg/L,
STEWARDS,ARS-MSGC-MSGC_WQ_2-5,,34.2366284,-89.9093076,1991-07-22,Dissolved oxygen,7.85,mg/L,
STEWARDS,ARS-MSGC-MSGC_WQ_2-5,,34.2366284,-89.9093076,1991-09-16,Dissolved oxygen,9.42,mg/L,
STEWARDS,ARS-MSGC-MSGC_WQ_2-5,,34.2366284,-89.9093076,1992-06-15,Dissolved oxygen,7.71,mg/L,
STEWARDS,ARS-MSGC-MSGC_WQ_2-5,,34.2366284,-89.9093076,1985-08-15,Dissolved oxygen,9.08,mg/L,
STEWARDS,ARS-MSGC-MSGC_WQ_2-5,,34.2366284,-89.9093076,1986-01-06,Dissolved oxygen,15.99,mg/L,
STEWARDS,ARS-MSGC-MSGC_WQ_2-5,,34.2366284,-89.9093076,1987-02-17,Dissolved oxygen,11.74,mg/L,
STEWARDS,ARS-MSGC-MSGC_WQ_2-5,,34.2366284,-89.9093076,1988-06-06,Dissolved oxygen,9.79,mg/L,
STEWARDS,ARS-MSGC-MSGC_WQ_2-5,,34.2366284,-89.9093076,1988-08-08,Dissolved oxygen,8.07,mg/L,
STEWARDS,ARS-MSGC-MSGC_WQ_2-5,,34.2366284,-89.9093076,1985-11-12,Dissolved oxygen,8.88,mg/L,
STEWARDS,ARS-MSGC-MSGC_WQ_2-5,,34.2366284,-89.9093076,1985-11-18,Dissolved oxygen,7.32,mg/L,
STEWARDS,ARS-MSGC-MSGC_WQ_2-5,,34.2366284,-89.9093076,1986-09-15,Dissolved oxygen,8.39,mg/L,
STEWARDS,ARS-MSGC-MSGC_WQ_2-5,,34.2366284,-89.9093076,1985-06-11,Dissolved oxygen,7.61,mg/L,
STEWARDS,ARS-MSGC-MSGC_WQ_2-5,,34.2366284,-89.9093076,1985-06-25,Dissolved oxygen,9.02,mg/L,
STEWARDS,ARS-MSGC-MSGC_WQ_2-5,,34.2366284,-89.9093076,1985-07-16,Dissolved oxygen,7.38,mg/L,
STEWARDS,ARS-MSGC-MSGC_WQ_2-5,,34.2366284,-89.9093076,1985-07-23,Dissolved oxygen,10.04,mg/L,
STEWARDS,ARS-MSGC-MSGC_WQ_2-5,,34.2366284,-89.9093076,1985-07-31,Dissolved oxygen,8.66,mg/L,
STEWARDS,ARS-MSGC-MSGC_WQ_2-5,,34.2366284,-89.9093076,1985-08-27,Dissolved oxygen,10.3,mg/L,
STEWARDS,ARS-MSGC-MSGC_WQ_2-5,,34.2366284,-89.9093076,1985-12-09,Dissolved oxygen,10.74,mg/L,
STEWARDS,ARS-MSGC-MSGC_WQ_2-5,,34.2366284,-89.9093076,1986-02-10,Dissolved oxygen,13.52,mg/L,
STEWARDS,ARS-MSGC-MSGC_WQ_2-5,,34.2366284,-89.9093076,1986-05-19,Dissolved oxygen,11.39,mg/L,
STEWARDS,ARS-MSGC-MSGC_WQ_2-5,,34.2366284,-89.9093076,1986-12-29,Dissolved oxygen,4.8,mg/L,
STEWARDS,ARS-MSGC-MSGC_WQ_2-5,,34.2366284,-89.9093076,1986-06-30,Dissolved oxygen,9.32,mg/L,
STEWARDS,ARS-MSGC-MSGC_WQ_2-5,,34.2366284,-89.9093076,1986-07-14,Dissolved oxygen,9.28,mg/L,
STEWARDS,ARS-MSGC-MSGC_WQ_2-5,,34.2366284,-89.9093076,1986-10-06,Dissolved oxygen,10.23,mg/L,
STEWARDS,ARS-MSGC-MSGC_WQ_2-5,,34.2366284,-89.9093076,1986-10-20,Dissolved oxygen,10.79,mg/L,
STEWARDS,ARS-MSGC-MSGC_WQ_2-5,,34.2366284,-89.9093076,1986-10-27,Dissolved oxygen,9.57,mg/L,
STEWARDS,ARS-MSGC-MSGC_WQ_2-5,,34.2366284,-89.9093076,1986-12-08,Dissolved oxygen,6.66,mg/L,
STEWARDS,ARS-MSGC-MSGC_WQ_2-5,,34.2366284,-89.9093076,1987-03-09,Dissolved oxygen,11.25,mg/L,
