Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaType,GeoAreaName,GeoAreaCode,TimePeriod,Value,Time_Detail,Source,FootNote,Nature,Units,Age,Bounds,Frequency,Level_Status,Location,Reporting_Type,Sex,SDG_6_Data_Portal_level
,,6.1.1,,"Drinking water, At least basic service",,Brunei Darussalam,96,2000,,,"WHO, UNICEF",,,,,,,,Urban,,,6.1.1 Proportion of population using safely managed drinking water services > At least basic service > Urban
,,6.1.1,,"Drinking water, Basic service",,Brunei Darussalam,96,2000,,,"WHO, UNICEF",,,,,,,,Urban,,,6.1.1 Proportion of population using safely managed drinking water services > Basic service > Urban
,,6.1.1,,"Drinking water, Limited",,Brunei Darussalam,96,2000,,,"WHO, UNICEF",,,,,,,,Urban,,,6.1.1 Proportion of population using safely managed drinking water services > Limited service > Urban
,,6.1.1,,"Drinking water, Available",,Brunei Darussalam,96,2000,,,"WHO, UNICEF",,,,,,,,Urban,,,6.1.1 Proportion of population using safely managed drinking water services > Safely managed service > Available > Urban
,,6.1.1,,"Drinking water, Free of contamination",,Brunei Darussalam,96,2000,,,"WHO, UNICEF",,,,,,,,Urban,,,6.1.1 Proportion of population using safely managed drinking water services > Safely managed service > Free of contamination > Urban
,,6.1.1,,"Drinking water, Safely managed service",,Brunei Darussalam,96,2000,,,"WHO, UNICEF",,,,,,,,Urban,,,6.1.1 Proportion of population using safely managed drinking water services > Safely managed service > Overall > Urban
,,6.1.1,,"Drinking water, On premises",,Brunei Darussalam,96,2000,,,"WHO, UNICEF",,,,,,,,Urban,,,6.1.1 Proportion of population using safely managed drinking water services > Safely managed service > On premises > Urban
,,6.1.1,,"Drinking water, Unimproved",,Brunei Darussalam,96,2000,,,"WHO, UNICEF",,,,,,,,Urban,,,6.1.1 Proportion of population using safely managed drinking water services > Unimproved > Urban
,,6.1.1,,"Drinking water, Surface water",,Brunei Darussalam,96,2000,,,"WHO, UNICEF",,,,,,,,Urban,,,6.1.1 Proportion of population using safely managed drinking water services > Surface water > Urban
,,6.1.1,,"Drinking water, Surface water",,Brunei Darussalam,96,2000,,,"WHO, UNICEF",,,,,,,,Rural,,,6.1.1 Proportion of population using safely managed drinking water services > Surface water > Rural
,,6.1.1,,"Drinking water, At least basic service",,Brunei Darussalam,96,2000,,,"WHO, UNICEF",,,,,,,,Rural,,,6.1.1 Proportion of population using safely managed drinking water services > At least basic service > Rural
,,6.1.1,,"Drinking water, Basic service",,Brunei Darussalam,96,2000,,,"WHO, UNICEF",,,,,,,,Rural,,,6.1.1 Proportion of population using safely managed drinking water services > Basic service > Rural
,,6.1.1,,"Drinking water, Limited",,Brunei Darussalam,96,2000,,,"WHO, UNICEF",,,,,,,,Rural,,,6.1.1 Proportion of population using safely managed drinking water services > Limited service > Rural
,,6.1.1,,"Drinking water, Available",,Brunei Darussalam,96,2000,,,"WHO, UNICEF",,,,,,,,Rural,,,6.1.1 Proportion of population using safely managed drinking water services > Safely managed service > Available > Rural
,,6.1.1,,"Drinking water, Free of contamination",,Brunei Darussalam,96,2000,,,"WHO, UNICEF",,,,,,,,Rural,,,6.1.1 Proportion of population using safely managed drinking water services > Safely managed service > Free of contamination > Rural
,,6.1.1,,"Drinking water, Safely managed service",,Brunei Darussalam,96,2000,,,"WHO, UNICEF",,,,,,,,Rural,,,6.1.1 Proportion of population using safely managed drinking water services > Safely managed service > Overall > Rural
,,6.1.1,,"Drinking water, On premises",,Brunei Darussalam,96,2000,,,"WHO, UNICEF",,,,,,,,Rural,,,6.1.1 Proportion of population using safely managed drinking water services > Safely managed service > On premises > Rural
,,6.1.1,,"Drinking water, Unimproved",,Brunei Darussalam,96,2000,,,"WHO, UNICEF",,,,,,,,Rural,,,6.1.1 Proportion of population using safely managed drinking water services > Unimproved > Rural
,,6.1.1,,"Drinking water, At least basic service",,Brunei Darussalam,96,2000,99.900016208937,,"WHO, UNICEF",,,,,,,,National,,,6.1.1 Proportion of population using safely managed drinking water services > At least basic service > National
,,6.1.1,,"Drinking water, Basic service",,Brunei Darussalam,96,2000,100,,"WHO, UNICEF",,,,,,,,National,,,6.1.1 Proportion of population using safely managed drinking water services > Basic service > National
,,6.1.1,,"Drinking water, Limited",,Brunei Darussalam,96,2000,0,,"WHO, UNICEF",,,,,,,,National,,,6.1.1 Proportion of population using safely managed drinking water services > Limited service > National
,,6.1.1,,"Drinking water, Available",,Brunei Darussalam,96,2000,,,"WHO, UNICEF",,,,,,,,National,,,6.1.1 Proportion of population using safely managed drinking water services > Safely managed service > Available > National
,,6.1.1,,"Drinking water, Free of contamination",,Brunei Darussalam,96,2000,,,"WHO, UNICEF",,,,,,,,National,,,6.1.1 Proportion of population using safely managed drinking water services > Safely managed service > Free of contamination > National
,,6.1.1,,"Drinking water, Safely managed service",,Brunei Darussalam,96,2000,,,"WHO, UNICEF",,,,,,,,National,,,6.1.1 Proportion of population using safely managed drinking water services > Safely managed service > Overall > National
,,6.1.1,,"Drinking water, On premises",,Brunei Darussalam,96,2000,99.781114234493,,"WHO, UNICEF",,,,,,,,National,,,6.1.1 Proportion of population using safely managed drinking water services > Safely managed service > On premises > National
,,6.1.1,,"Drinking water, Unimproved",,Brunei Darussalam,96,2000,0,,"WHO, UNICEF",,,,,,,,National,,,6.1.1 Proportion of population using safely managed drinking water services > Unimproved > National
,,6.1.1,,"Drinking water, Surface water",,Brunei Darussalam,96,2000,0.099983791062905,,"WHO, UNICEF",,,,,,,,National,,,6.1.1 Proportion of population using safely managed drinking water services > Surface water > National
