Indicator,SeriesDescription,GeoAreaName,GeoAreaCode,TimePeriod,Value,Units,Source
6.1.1,"Drinking water, At least basic service",Afghanistan,4,2000,,,"WHO, UNICEF"
6.1.1,"Drinking water, Non-piped improved",Afghanistan,4,2000,39.424215269229,,"WHO, UNICEF"
6.1.1,"Drinking water, Piped improved",Afghanistan,4,2000,19.063288753486,,"WHO, UNICEF"
6.1.1,"Drinking water, Total",Afghanistan,4,2000,58.487504022714,,"WHO, UNICEF"
6.1.1,"Drinking water, Surface water",Afghanistan,4,2000,9.0715785660118,,"WHO, UNICEF"
6.1.1,"Drinking water, Unimproved",Afghanistan,4,2000,32.440917411274,,"WHO, UNICEF"
6.1.1,"Drinking water, On premises",Afghanistan,4,2000,46.363522956731,,"WHO, UNICEF"
6.1.1,"Drinking water, Safely managed service",Afghanistan,4,2000,22,,"WHO, UNICEF"
6.1.1,"Drinking water, Free of contamination",Afghanistan,4,2000,21.27857863727,,"WHO, UNICEF"
6.1.1,"Drinking water, Available",Afghanistan,4,2000,51.78220412403,,"WHO, UNICEF"
6.1.1,"Drinking water, Limited",Afghanistan,4,2000,3.8810262532347,,"WHO, UNICEF"
6.1.1,"Drinking water, Basic service",Afghanistan,4,2000,57,,"WHO, UNICEF"
6.1.1,"Drinking water, Non-piped improved",Afghanistan,4,2000,26.532266153286,,"WHO, UNICEF"
6.1.1,"Drinking water, Piped improved",Afghanistan,4,2000,4.2087930286032,,"WHO, UNICEF"
6.1.1,"Drinking water, Total",Afghanistan,4,2000,30.741059181889,,"WHO, UNICEF"
6.1.1,"Drinking water, Surface water",Afghanistan,4,2000,25.402163820784,,"WHO, UNICEF"
6.1.1,"Drinking water, Unimproved",Afghanistan,4,2000,43.856776997327,,"WHO, UNICEF"
6.1.1,"Drinking water, On premises",Afghanistan,4,2000,16.753696473368,,"WHO, UNICEF"
6.1.1,"Drinking water, Safely managed service",Afghanistan,4,2000,11,,"WHO, UNICEF"
6.1.1,"Drinking water, Available",Afghanistan,4,2000,27.598418075403,,"WHO, UNICEF"
6.1.1,"Drinking water, Limited",Afghanistan,4,2000,3.2992030877631,,"WHO, UNICEF"
6.1.1,"Drinking water, Basic service",Afghanistan,4,2000,30,,"WHO, UNICEF"
6.1.1,"Drinking water, At least basic service",Afghanistan,4,2000,,,"WHO, UNICEF"
6.1.1,"Drinking water, Free of contamination",Afghanistan,4,2000,11.093326309144,,"WHO, UNICEF"
6.1.1,"Drinking water, At least basic service",Afghanistan,4,2000,,,"WHO, UNICEF"
6.1.1,"Drinking water, Non-piped improved",Afghanistan,4,2000,22.879530638923,,"WHO, UNICEF"
6.1.1,"Drinking water, Piped improved",Afghanistan,4,2000,0,,"WHO, UNICEF"
6.1.1,"Drinking water, Total",Afghanistan,4,2000,22.879530638923,,"WHO, UNICEF"
6.1.1,"Drinking water, Surface water",Afghanistan,4,2000,30.029184259003,,"WHO, UNICEF"
6.1.1,"Drinking water, Unimproved",Afghanistan,4,2000,47.091285102074,,"WHO, UNICEF"
6.1.1,"Drinking water, On premises",Afghanistan,4,2000,8.3642073215568,,"WHO, UNICEF"
6.1.1,"Drinking water, Free of contamination",Afghanistan,4,2000,8.2074916597905,,"WHO, UNICEF"
6.1.1,"Drinking water, Available",Afghanistan,4,2000,20.746314128695,,"WHO, UNICEF"
6.1.1,"Drinking water, Limited",Afghanistan,4,2000,3.1343524509567,,"WHO, UNICEF"
6.1.1,"Drinking water, Basic service",Afghanistan,4,2000,22,,"WHO, UNICEF"
6.1.1,"Drinking water, Safely managed service",Afghanistan,4,2000,9,,"WHO, UNICEF"
6.1.1,"Drinking water, Non-piped improved",Albania,8,2000,18.141688317035,,"WHO, UNICEF"
6.1.1,"Drinking water, Piped improved",Albania,8,2000,78.394881138912,,"WHO, UNICEF"
